,B01001_001E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_001M,B01001_003M,B01001_004M,B01001_005M,B01001_006M,B01001_027M,B01001_028M,B01001_029M,B01001_030M,state,county,tract
267,4392,184,181,106,38,227,19,96,36,423,97,122,96,42,86,22,48,35,17,031,210700
268,2917,93,52,10,40,40,73,44,39,339,68,54,17,37,34,44,50,49,17,031,221200
269,3448,114,51,16,14,132,0,73,24,231,62,50,26,22,67,11,82,37,17,031,063000
270,2024,44,42,42,8,57,52,20,19,198,31,36,23,17,46,29,21,23,17,031,071200
271,4585,83,0,8,0,45,0,0,8,396,74,11,21,11,52,11,11,18,17,031,081500
272,1378,68,34,73,0,33,70,22,15,112,33,26,33,11,21,49,19,14,17,031,090300
273,5482,185,121,96,172,194,150,181,117,399,78,66,62,70,84,74,52,62,17,031,130300
274,4789,191,142,202,27,219,92,117,42,297,74,63,66,24,95,43,58,33,17,031,100600
275,3095,64,77,20,67,163,116,182,10,404,65,73,34,50,97,81,92,15,17,031,210900
276,1067,103,25,41,26,70,60,37,11,250,79,27,29,23,48,37,31,17,17,031,260200
277,3177,61,76,119,74,82,115,107,87,246,46,68,56,58,68,69,53,51,17,031,170700
278,2058,26,0,14,0,13,13,21,13,236,32,11,21,11,16,19,24,19,17,031,170100
279,2606,58,109,157,80,61,118,68,24,246,34,51,53,42,51,70,42,23,17,031,190100
280,2607,101,39,0,0,40,30,11,30,249,72,22,11,11,29,31,15,26,17,031,220500
281,2462,97,91,85,64,109,44,79,22,237,42,52,49,35,58,37,47,17,17,031,222700
282,6782,309,346,234,149,211,305,352,153,806,191,143,130,80,145,151,135,83,17,031,231200
283,5772,196,167,89,105,185,239,219,62,992,137,117,83,95,156,138,125,73,17,031,231500
284,2267,88,0,26,0,99,40,0,28,178,80,11,35,11,49,31,11,32,17,031,240500
285,928,35,17,0,0,8,30,24,11,115,27,17,11,11,14,28,26,18,17,031,240900
286,3347,105,36,18,32,123,43,24,20,327,59,26,22,41,64,37,22,22,17,031,242200
287,3584,236,62,24,9,81,24,19,20,267,134,38,24,33,43,26,17,34,17,031,243500
288,7452,367,287,85,145,135,216,301,177,780,157,162,69,99,88,94,129,139,17,031,250500
289,960,64,4,0,11,11,69,14,45,130,31,7,11,15,12,55,18,29,17,031,251000
290,3951,175,185,101,11,120,140,41,53,455,100,91,81,17,78,76,32,48,17,031,251400
291,2659,173,195,75,81,109,69,149,108,434,104,130,57,54,93,63,76,72,17,031,260800
292,2731,74,82,80,21,112,82,67,11,230,35,49,38,21,39,48,39,17,17,031,050100
293,1610,51,38,41,5,97,47,30,29,161,30,27,22,8,44,27,25,26,17,031,050700
294,3772,204,21,13,0,32,33,0,7,347,87,23,21,11,34,31,11,11,17,031,062100
295,4819,136,100,145,151,176,288,194,169,479,82,64,84,89,104,136,82,84,17,031,620100
296,7111,249,363,237,126,385,318,256,132,675,151,121,101,89,150,109,124,84,17,031,630800
297,3608,247,239,76,53,149,132,133,84,298,119,116,51,46,81,62,65,58,17,031,640700
298,4415,118,147,178,106,286,164,204,130,500,87,91,92,65,117,97,92,81,17,031,650100
299,1047,30,50,35,14,20,21,44,13,219,26,38,23,14,17,20,23,16,17,031,670500
300,1162,34,60,59,11,77,22,10,5,281,43,39,36,16,61,21,15,7,17,031,671900
301,2433,154,118,38,33,85,53,87,61,477,100,97,60,43,64,49,67,57,17,031,681400
302,4229,171,175,78,41,75,79,205,95,622,166,112,59,52,69,71,132,79,17,031,690900
303,2901,48,53,83,59,19,32,164,100,383,57,57,70,40,31,52,99,64,17,031,691400
304,4283,248,70,55,70,164,145,187,53,525,123,58,51,59,113,75,82,52,17,031,710500
305,2310,10,79,91,18,33,42,34,9,387,16,110,134,19,39,29,34,13,17,031,711100
306,5007,79,201,74,161,35,112,226,95,412,78,119,59,108,44,80,170,84,17,031,711200
307,2279,81,36,47,84,65,79,118,34,340,51,34,36,57,49,58,69,32,17,031,730700
308,3746,40,175,119,110,254,166,97,133,482,46,99,87,71,126,85,53,78,17,031,290900
309,4467,83,141,37,87,110,104,149,51,307,61,60,31,63,75,55,99,39,17,031,110400
310,4725,176,153,281,113,135,179,102,91,264,70,64,105,73,63,76,54,59,17,031,120200
311,4197,130,115,95,102,131,89,117,70,467,129,59,51,59,99,61,78,64,17,031,150700
312,3919,161,49,108,90,121,95,77,56,442,77,44,71,77,74,57,55,45,17,031,161300
313,2851,71,81,121,64,119,79,86,53,308,43,37,49,37,60,41,42,26,17,031,210400
314,1077,25,14,23,12,17,13,39,10,146,24,15,25,14,15,16,35,14,17,031,210800
315,3136,116,42,39,65,168,60,32,0,222,53,26,27,73,79,55,36,11,17,031,221600
316,2045,56,126,42,51,122,129,88,18,312,46,77,35,36,70,59,62,16,17,031,630200
317,6238,404,212,125,190,247,208,213,184,637,175,130,75,94,117,106,98,106,17,031,580700
318,3678,184,51,175,76,143,173,115,20,417,97,35,102,53,67,84,61,25,17,031,590600
319,2579,93,70,41,10,0,19,54,17,363,79,62,42,17,11,21,58,18,17,031,600700
320,1729,31,133,104,41,124,75,73,20,308,32,80,54,32,76,59,46,23,17,031,611900
321,2226,140,25,52,25,69,35,55,0,141,43,18,23,14,39,26,31,11,17,031,222200
322,1748,126,20,24,12,63,57,31,13,188,44,23,39,19,46,31,29,15,17,031,222500
323,968,58,11,23,12,18,28,34,31,164,39,14,25,13,18,25,31,24,17,031,222800
324,5899,162,156,322,215,398,266,293,125,703,112,80,103,103,155,110,128,78,17,031,230700
325,1641,41,41,16,5,48,39,23,15,164,31,19,17,7,23,21,18,23,17,031,240200
326,5230,94,56,60,0,229,84,14,74,472,75,72,69,15,103,56,25,77,17,031,241400
327,2679,71,44,21,22,31,21,7,10,296,40,36,31,25,24,25,10,15,17,031,242400
328,3282,182,24,123,0,73,40,60,42,376,86,22,65,11,50,36,51,45,17,031,242500
329,5752,185,208,109,69,158,108,181,60,702,106,170,102,112,137,97,171,78,17,031,242600
330,1669,82,78,42,38,34,32,15,0,220,52,39,30,29,32,32,16,11,17,031,242700
331,2044,101,48,8,0,114,12,41,25,215,61,30,12,11,60,16,37,20,17,031,243100
332,2375,60,59,56,9,11,57,74,15,282,47,36,46,15,16,50,50,19,17,031,243300
333,5118,277,144,280,114,327,107,164,78,595,170,81,151,68,164,82,99,60,17,031,250300
334,4176,165,207,131,103,84,118,108,71,633,91,133,82,75,61,58,75,48,17,031,251500
335,4466,364,200,130,99,266,303,81,47,677,161,120,74,110,133,157,76,45,17,031,251900
336,1713,66,59,73,42,71,93,92,37,322,58,48,48,33,58,76,86,37,17,031,260500
337,5290,173,209,245,71,332,218,301,135,639,113,101,107,56,162,77,159,88,17,031,630900
338,7211,369,294,451,52,240,324,199,154,903,238,195,225,47,200,193,158,122,17,031,650200
339,1666,7,51,37,27,42,38,49,8,293,11,36,35,24,36,30,36,13,17,031,660700
340,4694,178,163,199,124,194,262,138,48,722,123,105,94,78,129,108,87,47,17,031,660900
341,1333,44,39,44,80,37,74,65,16,227,32,40,37,56,33,44,35,26,17,031,680500
342,1308,107,31,46,6,52,55,26,21,311,69,29,40,8,44,52,22,25,17,031,680600
343,1471,62,54,65,43,52,25,61,30,227,61,47,62,33,41,28,43,22,17,031,710300
344,7482,226,351,367,211,257,262,463,326,648,107,129,167,92,129,110,184,116,17,031,191100
345,2089,35,53,47,14,95,43,67,24,273,33,43,32,22,72,34,46,27,17,031,230400
346,1617,58,5,11,4,113,25,22,4,204,40,8,11,9,57,29,18,6,17,031,242900
347,1725,50,92,36,0,100,21,58,83,211,38,35,30,11,59,22,42,68,17,031,570400
348,4092,188,0,16,0,0,17,0,0,283,26,11,27,11,11,27,11,11,17,031,081100
349,5720,115,207,219,102,157,81,192,84,510,85,87,91,66,101,44,63,52,17,031,110300
350,5624,174,202,287,104,270,228,215,84,625,120,101,100,64,98,113,110,54,17,031,190200
351,2848,41,55,66,12,47,24,29,22,274,39,58,63,16,34,29,33,36,17,031,221300
352,4487,87,69,143,276,136,69,81,98,522,67,65,100,137,121,55,73,63,17,031,251200
353,1600,26,11,20,27,32,24,30,24,196,25,14,18,28,25,23,34,24,17,031,282800
354,2150,66,97,166,53,141,135,70,42,410,60,53,82,36,96,73,44,33,17,031,260600
355,4923,241,121,0,0,71,0,21,0,511,165,108,11,11,55,11,33,11,17,031,320600
356,2021,79,114,131,109,105,154,135,42,231,47,63,51,63,56,63,48,32,17,031,350400
357,976,70,48,18,0,13,48,17,19,228,57,43,15,11,25,36,20,22,17,031,291600
358,2203,50,8,99,49,128,69,56,32,516,47,12,45,37,79,50,39,32,17,031,292400
359,2423,143,131,72,40,127,149,120,64,297,67,65,46,36,62,88,67,44,17,031,301100
360,4881,210,218,239,119,271,192,271,146,554,106,120,135,107,131,101,121,93,17,031,301600
361,1803,22,53,79,5,49,55,30,21,265,21,29,56,11,43,38,33,27,17,031,310300
362,13379,217,45,0,0,378,111,0,52,912,156,75,17,17,182,114,17,79,17,031,320100
363,19889,417,234,264,44,359,769,371,52,1479,248,211,290,78,205,345,236,45,17,031,330100
364,6650,134,252,78,134,217,90,72,0,514,138,126,72,98,120,75,64,15,17,031,010300
365,1457,68,85,31,27,50,34,49,6,114,21,35,21,23,27,24,27,8,17,031,050800
366,2720,16,89,109,47,57,70,132,79,315,24,47,83,45,43,39,67,61,17,031,490700
367,1302,67,79,15,0,28,40,37,11,183,29,36,13,11,18,25,23,12,17,031,050900
368,1654,148,77,30,43,82,111,26,17,196,48,45,19,37,34,46,21,15,17,031,051100
369,2340,34,167,89,45,101,56,66,55,270,37,92,53,37,71,37,41,37,17,031,490300
370,6064,186,272,119,90,194,135,244,104,699,129,89,86,80,106,105,107,72,17,031,561000
371,2326,96,133,68,109,76,119,64,27,319,51,62,44,46,49,65,37,33,17,031,611100
372,3060,92,148,150,122,110,35,191,35,539,72,89,86,88,63,33,88,40,17,031,611400
373,6098,347,327,295,163,240,163,269,218,647,131,154,110,92,112,81,99,81,17,031,630500
374,1472,78,26,20,35,68,31,12,4,209,48,19,17,18,40,27,14,6,17,031,640100
375,4022,132,100,168,27,36,142,241,83,448,87,83,86,22,36,79,105,67,17,031,640600
376,2454,35,53,152,30,84,129,165,35,374,38,41,72,28,75,69,64,48,17,031,690300
377,1939,148,65,8,24,152,70,59,33,260,101,63,11,27,75,43,34,24,17,031,691500
378,1097,56,33,51,59,19,15,6,18,243,52,52,51,49,29,26,9,26,17,031,710100
379,3409,134,77,135,50,162,87,141,30,257,80,70,78,54,89,52,76,27,17,031,720100
380,4047,41,97,194,67,165,33,132,131,405,53,98,102,44,113,36,94,85,17,031,720200
381,1963,75,83,60,64,92,76,63,29,130,39,32,44,28,32,48,32,24,17,031,720400
382,3066,49,78,110,18,135,107,101,17,332,48,57,51,21,81,51,58,18,17,031,720700
383,6011,159,149,253,47,152,123,257,90,693,76,76,172,51,106,108,113,60,17,031,140400
384,6454,145,374,136,37,180,242,96,147,578,118,297,94,34,188,112,56,96,17,031,140800
385,7747,266,94,203,158,164,257,175,99,731,117,83,124,108,105,97,107,60,17,031,150200
386,5593,122,138,109,182,261,70,180,49,399,81,81,59,116,126,46,78,35,17,031,170500
387,6191,214,61,99,80,172,180,131,8,642,102,52,89,63,82,146,125,16,17,031,160700
388,2151,100,85,67,16,105,40,114,9,199,57,49,41,17,48,22,34,8,17,031,161000
389,5350,193,103,219,111,239,296,101,103,512,94,69,130,72,98,158,72,86,17,031,170300
390,7328,263,172,144,182,129,185,160,132,659,141,121,96,109,93,95,114,106,17,031,171000
391,2213,126,96,135,21,154,205,203,72,247,87,56,70,32,95,92,119,52,17,031,351100
392,1703,0,20,17,22,20,0,23,16,218,11,29,24,22,28,11,38,23,17,031,380200
393,1267,73,39,11,33,50,33,7,28,194,30,30,14,28,39,24,10,21,17,031,381900
394,2295,26,51,56,29,73,63,65,45,250,17,22,26,18,29,24,32,28,17,031,411100
395,1672,56,71,84,41,79,41,56,69,316,44,55,64,37,64,52,34,45,17,031,420200
396,2651,144,150,107,49,67,115,61,38,361,67,59,46,36,49,54,43,27,17,031,191000
397,5941,247,184,266,192,363,362,289,141,660,128,91,120,83,136,141,132,102,17,031,610300
398,2390,64,142,41,25,63,53,50,45,455,54,79,40,32,64,47,43,42,17,031,611800
399,2511,159,209,131,73,62,99,142,77,460,88,76,79,48,59,53,76,49,17,031,681200
400,3012,36,48,19,45,34,87,110,82,468,53,74,19,50,52,64,82,75,17,031,711000
401,6530,153,203,316,276,172,310,413,298,429,110,111,129,144,116,136,150,122,17,031,650400
402,4720,198,240,212,242,153,210,182,66,634,104,124,103,131,112,106,92,48,17,031,660500
403,6851,286,166,208,125,283,201,444,241,556,129,80,82,82,130,95,135,92,17,031,661100
404,1050,7,20,13,21,77,7,29,17,192,10,20,21,27,55,10,30,17,17,031,670600
405,624,0,15,66,7,6,15,26,0,147,11,23,64,11,9,23,25,11,17,031,690500
406,2550,51,0,79,100,40,14,90,47,475,60,11,73,76,41,24,62,50,17,031,691000
407,5514,130,217,259,160,97,171,250,133,537,96,118,133,81,82,69,120,80,17,031,710400
408,4552,65,76,115,109,187,166,180,71,311,48,55,63,57,90,60,79,45,17,031,740400
409,7439,27,25,0,0,31,45,45,45,634,43,42,15,15,50,45,45,60,17,031,081000
410,2582,54,68,52,23,91,23,31,8,295,42,58,47,31,66,22,31,15,17,031,030400
411,3061,71,45,16,10,43,43,57,35,431,53,26,18,16,38,31,36,38,17,031,030900
412,2566,27,56,21,92,22,32,31,19,221,32,34,22,66,19,22,26,28,17,031,031900
413,5431,298,369,115,58,183,295,117,0,527,153,112,100,55,87,97,71,15,17,031,050200
414,3763,168,228,170,77,65,82,60,37,375,98,75,78,53,50,58,45,31,17,031,200100
415,2464,73,99,82,18,66,44,65,13,286,59,85,64,18,37,30,46,15,17,031,160900
416,1881,25,77,56,20,21,54,73,73,254,18,33,36,19,24,37,43,61,17,031,170900
417,2201,82,77,33,20,59,38,21,31,211,40,37,27,24,27,31,25,25,17,031,220300
418,5153,36,163,39,29,48,69,109,75,609,40,148,51,26,62,76,119,70,17,031,010400
419,950,20,9,5,44,65,50,53,22,157,19,16,7,33,52,26,27,14,17,031,630100
420,5157,73,189,173,106,127,122,251,201,615,78,113,91,73,91,78,119,110,17,031,661000
421,884,57,34,33,12,53,28,52,0,261,73,34,30,18,53,36,42,11,17,031,670200
422,1983,50,37,110,79,32,63,50,42,257,44,40,58,51,28,54,47,43,17,031,380100
423,1256,57,41,16,32,25,54,71,7,246,38,31,20,37,23,34,40,12,17,031,671800
424,2993,117,86,105,131,126,60,90,111,434,96,68,62,72,83,54,60,73,17,031,691100
425,4440,102,281,109,90,107,74,93,179,597,75,146,81,82,121,59,76,109,17,031,530300
426,5341,215,94,91,13,174,159,153,126,298,88,65,66,20,87,117,93,68,17,031,560900
427,2555,60,115,150,115,51,46,69,52,321,38,52,63,65,34,26,39,35,17,031,580300
428,2521,105,161,112,66,108,121,89,37,348,64,91,62,45,67,68,55,33,17,031,611300
429,1608,70,38,35,31,137,36,52,12,322,59,44,33,30,87,42,44,15,17,031,611600
430,7784,228,249,365,313,405,378,256,172,733,125,119,150,128,150,139,113,92,17,031,620300
431,4503,85,154,308,149,159,177,139,104,497,61,101,104,99,95,80,82,63,17,031,620400
432,4102,134,131,86,64,102,114,130,119,324,77,63,50,37,56,56,51,59,17,031,120100
433,3527,168,168,137,107,200,104,258,23,402,103,97,77,69,88,62,149,32,17,031,140100
434,4967,117,176,133,145,70,149,76,86,516,69,106,81,83,65,79,69,61,17,031,150800
435,5325,92,155,132,97,188,177,264,130,512,54,85,53,59,118,122,114,83,17,031,151100
436,2577,124,86,67,11,131,115,40,50,252,63,45,49,12,58,78,25,40,17,031,160100
437,4693,164,126,110,40,158,153,133,6,437,93,66,65,37,85,73,73,10,17,031,160400
438,3841,122,96,125,72,151,120,116,69,284,77,43,68,54,74,47,73,44,17,031,171100
439,5535,153,143,111,91,175,281,130,129,564,67,88,64,58,74,131,78,69,17,031,190300
440,2537,120,69,61,22,97,42,177,34,333,73,43,31,15,58,40,89,36,17,031,190900
441,1962,72,83,51,68,101,66,58,40,301,61,47,39,42,74,41,45,25,17,031,200300
442,5367,120,119,136,46,279,259,193,44,554,79,72,79,43,152,158,90,41,17,031,110100
443,3433,179,90,72,18,64,22,153,90,427,107,48,47,20,54,28,158,92,17,031,110200
444,1547,62,23,34,20,32,52,57,34,134,36,19,19,17,29,32,33,35,17,031,130200
445,841,44,64,52,0,63,46,73,5,280,44,42,60,11,54,42,59,9,17,031,271800
446,888,1,29,50,33,0,21,17,9,148,5,21,45,25,11,22,15,10,17,031,280800
447,991,63,64,48,33,32,42,26,10,159,48,42,31,23,26,33,20,10,17,031,280900
448,6018,122,24,0,0,82,48,53,46,545,84,33,15,15,66,40,71,62,17,031,281900
449,2480,97,49,97,53,83,156,201,113,367,69,43,73,54,61,98,81,65,17,031,291200
450,5059,144,22,57,0,82,73,137,0,614,168,29,71,15,28,74,64,15,17,031,031100
451,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,17,031,381700
452,1570,69,52,35,44,121,77,99,6,232,35,39,28,36,81,45,61,10,17,031,390100
453,1275,14,28,33,16,19,28,21,32,242,14,29,34,24,29,47,17,36,17,031,380700
454,1724,181,38,0,0,44,132,0,0,408,123,61,11,11,71,100,11,11,17,031,381200
455,1656,56,51,32,18,80,56,40,16,230,31,44,27,17,56,33,32,17,17,031,390200
456,1317,99,28,35,16,11,102,50,49,230,71,29,46,21,20,63,42,40,17,031,400300
457,2514,43,34,20,0,161,74,55,18,289,53,35,24,11,71,49,54,27,17,031,040600
458,2758,117,159,94,43,74,49,128,81,352,93,61,56,39,45,35,77,49,17,031,580100
459,5174,123,126,255,104,147,232,294,121,547,72,77,122,61,74,99,105,71,17,031,580600
460,7157,281,240,212,17,315,250,352,169,618,178,140,146,30,158,160,213,135,17,031,640300
461,4549,162,191,128,201,105,198,154,61,495,84,85,56,93,75,78,86,42,17,031,650500
462,1656,38,43,57,24,48,86,81,35,257,31,32,37,17,33,38,44,29,17,031,670400
463,3430,69,162,26,45,208,144,72,84,472,66,101,40,51,159,99,66,78,17,031,680900
464,2910,208,149,24,26,216,164,57,10,582,129,94,38,23,128,98,51,16,17,031,681100
465,2279,105,84,54,72,122,149,95,72,355,97,46,36,43,81,71,88,40,17,031,681300
466,3031,58,10,56,103,17,69,47,24,391,75,18,54,71,27,60,50,26,17,031,690400
467,6638,289,290,205,145,212,377,350,94,471,123,90,93,78,99,174,134,67,17,031,700200
468,2559,58,104,44,54,63,87,72,55,293,32,55,41,37,66,56,50,35,17,031,711500
469,3559,173,64,27,72,98,81,228,128,531,100,62,32,71,101,80,121,94,17,031,730600
470,6661,260,144,131,168,215,159,235,165,443,159,75,94,85,111,93,102,83,17,031,740200
471,3814,40,23,53,102,81,0,113,107,454,40,26,59,99,79,11,76,100,17,031,750100
472,2778,88,51,18,49,149,98,91,49,239,68,55,24,64,100,78,54,39,17,031,750200
473,2494,105,86,97,47,119,99,65,91,159,74,58,41,30,58,40,42,42,17,031,750300
474,3032,108,73,142,74,40,63,108,56,299,80,42,80,51,39,39,48,49,17,031,750400
475,1842,35,29,40,60,15,56,27,16,240,24,23,29,44,15,34,25,19,17,031,590500
476,4413,202,109,156,48,59,103,90,67,388,146,68,103,57,54,62,58,61,17,031,600400
477,2101,69,94,78,70,39,111,106,37,109,47,45,35,34,37,64,45,35,17,031,720500
478,1751,69,40,86,10,103,76,24,27,102,39,31,40,9,43,27,20,25,17,031,720600
479,2695,47,60,23,31,47,73,142,101,286,45,45,23,25,43,41,44,57,17,031,730100
480,1313,0,0,28,33,13,0,55,26,169,11,11,30,27,21,11,27,26,17,031,461000
481,1103,22,16,34,18,12,19,23,5,143,31,24,33,16,13,27,17,7,17,031,480300
482,1718,73,88,20,14,118,96,16,26,147,29,62,24,15,41,43,17,19,17,031,051000
483,1796,85,80,67,7,56,54,39,8,163,34,32,27,10,33,29,20,10,17,031,051400
484,5048,114,64,19,19,36,51,65,42,400,107,41,30,29,40,81,42,82,17,031,060800
485,2370,156,54,53,32,124,79,93,17,180,51,29,40,21,40,42,41,16,17,031,062600
486,4604,91,116,37,28,59,35,25,12,638,64,99,37,28,44,25,25,19,17,031,071000
487,3508,145,120,219,29,59,89,122,23,179,63,63,70,29,42,46,61,26,17,031,090100
488,4246,140,87,160,92,117,130,101,56,461,72,40,96,55,56,61,55,46,17,031,150600
489,1829,68,60,37,21,58,27,23,6,150,30,24,21,17,34,29,19,10,17,031,040800
490,1051,35,77,34,22,19,28,28,13,208,35,39,33,20,23,21,28,22,17,031,222900
491,5444,63,142,105,89,135,65,51,65,567,51,78,63,60,68,56,41,56,17,031,030200
492,1379,49,28,15,0,23,8,15,0,187,34,17,9,11,20,12,9,11,17,031,061100
493,1592,35,41,22,11,34,40,57,15,148,23,28,19,13,21,22,33,16,17,031,283200
494,3567,292,122,133,27,201,176,121,37,833,179,108,113,39,175,121,81,59,17,031,491400
495,2726,96,134,98,22,116,51,95,37,275,71,76,71,23,91,44,77,36,17,031,550200
496,4392,47,155,0,55,123,153,28,0,414,54,87,11,59,61,94,41,11,17,031,030800
497,6069,434,266,231,81,131,282,337,114,593,230,106,122,58,75,102,133,60,17,031,050500
498,6829,309,361,218,158,475,281,213,200,564,125,122,92,74,154,138,88,104,17,031,630400
499,1126,34,29,45,13,54,17,37,23,282,33,29,38,14,42,24,35,28,17,031,670300
500,2641,62,77,110,17,64,44,0,48,661,68,90,74,27,71,50,11,63,17,031,681000
501,4329,179,264,105,127,98,132,173,80,546,113,131,77,82,83,82,115,68,17,031,710200
502,1210,9,53,81,34,71,23,0,52,251,13,43,61,39,51,20,11,39,17,031,421200
503,1836,132,66,109,12,94,105,10,63,239,75,57,77,26,48,53,17,37,17,031,351400
504,2110,64,118,66,41,31,98,95,69,271,48,71,45,33,33,61,48,47,17,031,491200
505,2251,16,12,0,0,34,6,0,13,237,21,19,11,11,40,13,11,20,17,031,350100
506,2885,129,76,40,62,179,73,58,34,278,57,41,40,44,77,37,37,28,17,031,062700
507,1072,100,61,39,20,39,8,85,20,251,85,49,38,24,32,16,62,27,17,031,670700
508,5355,64,239,213,131,125,231,227,85,104,47,87,86,73,74,87,109,63,17,031,810400
509,1760,84,127,144,143,111,79,35,10,331,67,77,102,73,107,88,43,10,17,031,280400
510,2705,141,164,112,49,37,133,115,80,471,76,173,77,40,39,64,55,54,17,031,292200
511,2889,97,138,125,66,56,162,101,18,306,72,82,66,46,44,80,49,19,17,031,300500
512,3186,103,116,78,114,97,127,101,90,350,58,61,53,60,52,62,53,56,17,031,300600
513,1460,8,23,23,26,10,36,30,15,264,13,28,26,26,15,46,33,24,17,031,310700
514,4800,133,132,121,62,151,94,93,101,488,77,78,73,51,99,55,55,80,17,031,200200
515,3026,180,39,119,71,81,51,28,41,373,99,32,80,93,44,38,29,42,17,031,221400
516,1001,103,22,40,22,27,59,0,21,176,60,24,29,20,24,53,11,20,17,031,230300
517,4965,122,297,221,141,163,151,195,64,529,73,160,109,91,94,120,107,57,17,031,230900
518,1292,49,76,60,18,75,17,44,28,300,30,47,39,20,53,18,29,25,17,031,231100
519,1506,83,60,7,0,94,55,7,0,180,46,35,11,11,37,30,11,11,17,031,240600
520,2742,156,44,35,12,37,92,25,22,287,68,42,40,18,35,68,23,24,17,031,243400
521,2730,85,107,128,77,67,125,68,44,291,50,58,62,53,34,55,48,26,17,031,250200
522,5396,134,139,88,75,117,178,160,59,716,150,120,73,76,126,118,116,37,17,031,250700
523,3934,89,116,148,60,63,113,20,61,476,64,79,64,54,60,67,27,51,17,031,251300
524,2172,57,22,45,63,59,29,171,24,378,42,18,39,64,48,19,135,17,17,031,282700
525,4853,106,0,50,0,74,0,0,0,406,94,11,49,11,59,11,11,11,17,031,031400
526,3302,105,55,32,0,0,0,0,19,396,73,54,52,11,11,11,11,37,17,031,080202
527,4500,73,0,0,0,59,17,0,0,494,77,11,11,11,93,26,11,11,17,031,081201
528,2951,68,48,33,5,29,0,0,25,230,42,53,35,10,36,11,11,31,17,031,081202
529,2342,0,0,0,7,25,25,30,0,239,11,11,11,12,28,29,40,11,17,031,081401
530,5325,205,31,0,16,131,18,43,20,577,120,43,15,26,136,28,58,31,17,031,081402
531,8046,188,39,102,0,0,0,56,0,704,208,59,86,15,15,15,78,15,17,031,081403
532,5390,124,126,261,128,119,75,211,91,512,76,63,109,89,65,63,109,60,17,031,110501
533,3612,121,45,61,5,304,43,56,36,439,72,32,52,8,152,33,49,31,17,031,110502
534,3118,52,58,88,48,91,98,92,53,446,52,55,68,50,70,103,71,50,17,031,430101
